phosphoenolpyruvate	C=C(C(=O)O)OP(=O)(O)O
L-gulonic acid-2-methylene hydroxy phosphoric acid	O[C@H]([C@]1(COP(O)(O)=O)O)[C@@H](C(CO)O)OC1=O
phosphormic  acid (PFA)	C(=O)(O)P(=O)(O)O
2-keto-3-deoxy-D-glycero-D-galactonononic acid 9-phosphate	O[C@H]1C[C@@](O)(C(O)=O)OC([C@@H]([C@@H](OP(O)(O)=O)O)O)[C@@H]1O
2'-deoxyribose-5-phosphate	C1[C@H]([C@H](O[C@H]1O)COP(=O)(O)O)O
DL-2'-amino-3-phosphonopropinoic acid (APPA)	C(CN)C[P+](=O)O
D-glucurononate-5-phosphate	O=C([C@H]([C@H]([C@@H]([C@@H](O)C(O)=O)O)O)OP(O)(O)=O)O
2'-deoxy-D-glucose-6-phosphate	C1[C@H]([C@@H]([C@H](OC1O)COP(=O)(O)O)O)O
2-deoxy-D-manno-2-octoulosonate-8-phosphate	O[C@H]1C[C@@](O)(C(O)=O)OC([C@@H](COP(O)(O)=O)O)[C@@H]1O
2'-deoxy-6-phosphogluconate	C([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)C(=O)O
2'-deoxy-6-phosphoglucitol	C(CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
L-arabitol-5-phosphate	C([C@@H]([C@H]([C@H](COP(=O)([O-])[O-])O)O)O)O
D-3'-deoxy-sorbitol-6-phosphate	O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
Glucosamine-6'-phosphate	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O
D-2'-keto-glucose-6-phosphate	O=C(C(=O))[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
L-arabitol-1-phosphate	C([C@@H]([C@H]([C@H](CO)O)O)O)OP(=O)(O)O
D-arabitol-1-phosphate	C([C@H]([C@@H]([C@@H](CO)O)O)O)OP(=O)(O)O
3'-5' ADP	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@H]([C@@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N
2-keto-3-deoxy-6-phospho-gluconate (KDPG)	O[C@@H]([C@@H](O)CC(C(O)=O)=O)COP(O)(O)=O
Uridine-5'-diphosphoglucuronic acid	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O
PNPP	C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O
L-xylitol-3-phosphate	O=P(O)(O)O[C@@H]([C@H](O)CO)[C@H](O)CO
2'-deoxy-D-glucose-6-phosphate	O[C@@H]([C@@H](O)[C@H](O)CC=O)COP(O)(O)=O
D-allose-6-phosphate	O[C@@H]([C@@H](O)[C@@H](O)[C@@H](O)C=O)COP(O)(O)=O
2'-deoxyribose-5-phosphate	O[C@@H]([C@@H](O)CC=O)COP(O)(O)=O
D-arabinose-5-phosphate	O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H](O)C=O
D-mannose-6-phosphate	O[C@@H]([C@@H](O)[C@H](O)[C@@H](C=O)O)COP(O)(O)=O
Glucosamine-6'-phosphate	N[C@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)C=O
