organism,genus,family,order,class,phylum
Shewanella putrefaciens,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria
Silanimonas lenta,Silanimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Streptococcus pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Streptomyces ambofaciens,Streptomyces,Streptomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria
Streptomyces avermitilis,Streptomyces,Streptomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria
Subtercola sp. Z020,Subtercola,Microbacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
Thermomonas haemolytica,Thermomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Virgibacillus_salinus,Virgibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Wenzhouxiangella sediminis,Wenzhouxiangella,Wenzhouxiangellaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Xanthomonas translucens ﻿pv. graminis,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
